State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AL,Natural Gas,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278394,281046,253487,230003,239653,227795,210229,214613,243209,253593,252457,261816,288123,302672,299322,332400,337782,337453,341976,349080,368472,344023,390081,361161,392230,363436,402054,432591,420525,474434,550874,615377,681966,628511
AL,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,70195,29978,46557,210228,249788,240321,256310,260780,306734,274203,262518,152028,122308,117450,137623,121962,127533,166430,203111,187216,214054,218045,312018,310336,300698,322826,327143,317019,332650,330137,329898,330761,332992,360036,407551,415392,396557,411822,427975,426488
AL,Petroleum,236266,232625,239730,252175,257078,262263,272839,277389,306623,337392,352170,365107,405288,450714,476384,487977,533051,573751,577978,491593,450546,444631,440534,415690,415641,410154,425403,460829,463817,488004,483003,486653,492128,500373,528267,539299,539973,525885,519583,537208,560633,537085,564117,563460,612913,607467,611905,602699,572918,538180,556139,554871,545992,529970
AL,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,141,151,151,151,156,154,151,143,139,133,119,104,89,75,61,62,74,77,83,86,104,122,129,147
AL,Total Consumption,980862,970806,1039680,1064434,1130727,1201883,1267390,1313041,1404241,1474881,1520371,1498249,1585803,1663537,1707634,1672081,1668339,1903562,1865216,1952218,2026072,1980011,1930726,1899394,1965943,1878194,1795183,1842738,1874984,2017050,1944082,2040800,2167945,2248944,2365384,2464112,2613211,2523166,2545557,2576558,2627520,2459597,2550072,2569538,2668843,2649735,2694172,2700004,2657430,2483704,2645591,2678552,2637369,2662085
AL,Wood and Waste,45681,46171,45959,45764,46341,47641,49102,49050,52920,53345,52378,54068,58735,59084,58463,57615,62883,66705,66560,67874,141033,150242,153269,164483,175126,175418,158967,151718,157512,165031,143683,143162,148742,174850,214463,221956,208622,181859,209183,210656,203782,165015,162766,155066,184143,178033,194075,187119,172732,141954,145857,157484,160469,172429
AL,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Biomass,37433,36290,36441,36729,36860,35134,35169,33309,33739,34698,34264,34682,36857,37551,36739,35870,41325,51062,52002,45832,52390,55336,55633,60540,63217,62928,61844,61608,63792,86235,71100,71732,76481,85912,82506,82964,87771,86884,81960,82147,83466,66816,72938,80378,75878,81287,84205,88493,79111,88519,94865,97220,96310,95568
AR,Coal,356,275,160,135,186,163,111,104,132,0,0,51,50,2262,2665,862,3578,5244,22833,31728,36648,101935,125193,177458,163879,219791,224547,211011,218821,203343,212707,215945,220706,200450,222169,237334,260060,246786,254658,267022,267579,273982,255242,253653,270210,247169,256907,275037,278849,264083,293689,306119,296732,327099
AR,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,70,102,224,65,0,0,0,0,508,320,226,157,28,32,2,0,0,0,0,0,0,0,0,96,90,287,2305,5996,12821,12056,11707,11889
AR,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,108,117,126,133,123,131,138,147,152,192,192,212,228,282,306,349,401,482,572,702,773,750,808,808
AR,Hydropower,10671,14854,11197,5168,5872,11291,16528,12815,31247,30115,22668,18897,17059,44172,44600,35719,20975,18684,25086,34940,17606,12913,22019,34872,28429,46323,29390,25080,28754,32176,38016,37016,34928,46486,35721,33181,28921,35906,31781,27552,24181,26331,34953,26878,36493,30822,15380,31992,45923,40921,35697,28738,20921,25329
AR,Natural Gas,222202,215311,235477,252846,278852,277661,289632,295756,321569,349990,383478,334979,317640,327475,290102,257445,248194,234379,220898,255010,273994,265051,227395,211726,214432,199350,202982,172340,218787,251139,234465,212680,226598,232682,247187,271956,274991,264019,272888,257666,256114,231590,247898,254571,217921,216600,240885,229610,238424,248100,274774,288906,300572,288180
AR,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024,53676,42614,54759,57113,42139,85438,100093,82852,83380,117188,105042,93900,118720,94309,93599,119387,132746,118591,142032,145531,122486,140285,149100,137403,135009,121516,154356,152024,153093,161111,142864,158952,162434,148085,158663,157017,148531,162353,124816
AR,Petroleum,148486,160279,166628,173387,184692,179391,194913,200052,219881,237096,246746,269116,311417,352902,354366,341506,380208,424669,421287,359029,299939,289178,281783,284882,263595,263850,263643,263409,276659,275463,266051,262115,271799,285138,297977,307389,309297,320891,322009,351123,358392,354120,356854,357665,361380,358711,359087,360655,358058,339493,347947,340173,326199,329719
AR,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,1305,1303,1305,1300,1290,1263,1226,1146,1075,976,840,689,544,406,270,104,112,67,70,82,105,123,138,145
AR,Total Consumption,456581,463299,486344,504994,543322,538774,571522,575345,640307,686597,721420,692407,719880,801913,769235,760948,778219,839859,851221,814510,818405,879842,850508,913398,913956,960212,938150,913776,964914,1029559,1014239,1005386,1027015,1080045,1115010,1139669,1190460,1191763,1183886,1203834,1195746,1174912,1193619,1207304,1199447,1159192,1200134,1237264,1228203,1229081,1299733,1307780,1300343,1287231
AR,Wood and Waste,37433,36290,36441,36729,36860,35134,35169,33309,33739,34698,34264,34682,36857,37551,36739,35870,41325,51062,52002,45832,52390,55277,55563,60438,62992,62863,61844,61608,63792,86235,70592,71412,76255,85755,82478,82933,87769,86884,81960,82147,83466,66816,72938,80378,75878,81190,84115,88207,76806,82522,82045,85164,84603,83678
AR,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Biomass,4013,3837,3672,4028,4089,3695,3679,4180,4147,4389,4339,4526,4782,4574,4783,5414,5816,6838,7129,8291,17835,21469,21635,23644,25139,25558,24043,17521,18365,15620,13741,14585,15095,13871,14181,16652,14706,16421,12302,12492,13376,10376,9299,9556,9671,25121,24988,28844,36093,28809,29289,28566,27268,26566
AZ,Coal,210,211,6291,8432,9103,7030,7373,7184,8137,8381,8623,8876,7523,9927,48359,92449,139960,179847,159980,246230,244994,319438,336245,295442,324862,342013,295888,282882,309041,353144,343415,347261,369743,389839,402390,342889,342839,369872,386770,403262,432810,424023,406479,406537,425413,428445,431985,438524,458727,413260,457909,459909,420570,454865
AZ,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,6,0,0,0,0,0,0,0,0,0,276,723,2272,1916,1904,1468,1269,1452,2010,1146,1105,1063,13738,14541,16186,19498,19452,19807,19936,19370,20270
AZ,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,236,236,237,237,236,237,237,238,238,286,286,287,294,235,255,283,287,302,366,329,339,345,345,345
AZ,Hydropower,32169,31246,30861,30834,30182,46400,54380,52243,59309,63451,64580,69610,70406,74774,77275,75484,78612,68843,72741,75123,102171,71114,73334,152355,163692,146123,151060,105592,80385,82171,77158,70292,68472,69040,75982,85470,95276,123060,111863,99794,85221,78774,75557,71634,69843,64094,67379,65211,71795,62731,64606,89135,63918,56432
AZ,Natural Gas,140275,159093,163461,169533,174623,166063,174448,169085,189965,210332,204383,225898,241355,226325,204955,164346,180181,176449,186366,180580,173977,192208,142323,120418,126844,137315,105197,121406,128594,151468,130781,128178,133771,118159,139733,127945,125265,137588,161086,167770,208137,244424,255247,275650,356265,329302,365230,401992,409966,377504,336208,293134,339043,340564
AZ,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12005,105540,140532,243215,83080,217965,263104,268149,231601,242182,283526,302902,307623,317888,317843,316839,299966,322260,297872,293158,269327,250568,280920,305726,320692,326102,327292,334636,328423
AZ,Petroleum,121426,126812,135778,144282,147509,145778,159259,167967,188628,201372,213315,221239,261115,325878,325795,306795,307396,351192,357419,345855,301356,284490,278523,289221,311990,317164,334683,342006,347765,352707,347299,354720,365336,380265,389282,410605,432366,432517,470202,496423,504891,516845,528059,538595,559794,588023,597715,588718,563277,517327,515028,517082,505360,514037
AZ,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,3682,3731,3799,3875,3925,3944,3976,3918,3854,3736,3525,3299,3116,3034,2997,2975,3201,3394,3975,4426,5990,10351,21256,35310
AZ,Total Consumption,302106,325036,343735,361137,369595,372661,402818,404839,454333,492314,499579,534675,589963,646052,665950,649902,717781,790007,790764,864370,858168,910188,873695,904723,977666,1005736,1040454,1027460,1145730,1057573,1148018,1196692,1239697,1220757,1282093,1287920,1332273,1407658,1476505,1514098,1578461,1588370,1609610,1612669,1727066,1732691,1766341,1835186,1883005,1751153,1762927,1753804,1742572,1787399
AZ,Wood and Waste,4013,3837,3672,4028,4089,3695,3679,4180,4147,4389,4339,4526,4782,4574,4783,5414,5816,6838,7129,8291,17835,21451,21593,23637,25139,25558,24043,17521,18365,15620,13741,14585,15095,13594,13459,14380,12790,14517,10834,11223,11924,8366,8153,8451,8607,11383,10447,11095,13582,6335,6333,5571,5747,6296
AZ,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,1316,2483,5059,4291
CA,Biomass,82098,83506,86898,93022,98436,97488,100673,101885,110274,116253,116839,119221,127646,130122,134723,127489,144760,151984,160261,168373,115610,133092,127114,148644,165871,167092,129117,157927,169036,235903,222587,219221,226570,193993,195852,181972,175098,158854,146909,155665,164105,164118,171469,205789,228393,225462,219073,224673,229209,236484,280124,282546,280927,294706
