State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
CT,Nuclear Energy,0,0,0,0,0,0,0,6056,33941,40166,39567,84173,83932,46911,88951,89590,136215,141876,151674,138231,129094,139788,150866,126367,154967,135127,197480,214482,235904,207033,209272,128355,175606,229006,210712,196995,65384,-1309,34022,132456,170674,161112,155777,167566,172470,162406,173111,171874,161305,174220,175074,166669,178959,178465
CT,Petroleum,362362,365707,378894,380282,389937,387113,412659,445975,485962,526587,559057,544425,605106,627232,574154,533393,555582,550810,563493,533278,502331,436558,435091,428152,466575,449651,471174,465459,497830,508860,439536,426413,422411,399135,383168,364246,402932,428059,417880,443105,429580,419491,383046,436371,464459,447828,402053,389865,352519,346264,337379,323891,308732,319610
CT,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66,71,75,79,136,154,191,204,238,274,271,320,392,439,507,648,799,959,1156,1382,1683,2043,2242,2817
CT,Total Consumption,523753,534916,553075,562834,579951,586487,627456,644441,689975,719332,743874,763742,798157,779410,777314,727925,803079,802275,831073,795274,790804,739199,746164,724237,784805,764673,838342,854067,913201,909074,859700,774607,837682,866337,843422,835518,754600,717606,713541,841306,896420,826524,808160,862959,927851,876706,862112,853156,795308,812699,821924,808212,804138,820967
CT,Wood and Waste,12842,13169,12825,13339,13886,13541,13612,13964,14931,15262,15837,16109,17127,17225,18039,17102,19886,19608,22669,24583,41088,40150,37567,44210,37129,37522,31612,27231,30997,31371,28711,30303,34470,34758,35346,42241,49396,45948,44385,44706,44944,26546,24535,25105,25094,20382,19571,19510,19828,23378,22598,21554,20877,21982
CT,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Biomass,123,105,105,105,88,88,88,88,105,105,105,105,105,105,123,123,140,158,193,210,2849,2312,3654,2564,3226,3327,3049,2229,2382,2514,1282,1347,1411,1945,1848,1850,1921,1377,1220,1257,1352,863,878,922,939,257,601,722,540,593,1027,1028,819,858
DC,Coal,27792,25770,22437,18598,18111,13804,23936,22600,23692,32544,28427,15432,12557,14060,12288,10142,5844,3991,2017,2889,3284,2406,3064,3040,2475,3489,1359,1742,781,1488,1733,1653,1254,1279,1169,143,575,983,155,151,177,741,99,173,741,939,0,502,391,331,71,48,77,4
DC,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,215,564,681,495,566,1003,1004,796,827
DC,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59,22,22
DC,Hydropower,32,58,61,43,50,32,23,24,15,3,8,11,13,8,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Natural Gas,12951,13721,14742,15335,16266,17315,17611,21923,22957,25229,26402,27663,28976,28177,27559,26210,29040,26212,26551,30129,27952,29429,29778,29633,29802,29336,29972,31422,33079,33757,29095,31287,33187,33325,31188,33201,34213,34826,31235,32964,34377,30577,33688,33700,33097,33753,29775,33856,32774,34339,33717,33389,29389,33844
DC,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,Petroleum,59884,56136,58579,60510,70176,92330,93935,102383,108713,120167,129410,121369,116424,122451,98379,75960,76714,84100,80034,57506,47702,40354,45763,43776,47271,39526,48221,43924,42715,43073,37963,35739,34547,36988,38220,36997,35061,32614,33640,33458,34495,33465,33422,29798,30552,28892,23119,22269,18991,19227,21066,19541,16200,15673
DC,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6,10,15,72,209,250,286
DC,Total Consumption,119872,118176,120459,121016,132268,159170,169526,182216,181890,195629,205891,199397,188830,193442,171284,163161,164436,163353,160278,152431,153262,149272,163811,162575,167024,165934,174696,174234,174976,180533,181020,187140,186771,193439,188776,191024,188535,185282,181651,185745,192617,188764,192711,189136,196871,196021,182521,194953,186874,191266,186232,179913,168825,170934
DC,Wood and Waste,123,105,105,105,88,88,88,88,105,105,105,105,105,105,123,123,140,158,193,210,2849,2311,3654,2563,3226,3327,3047,2226,2378,2511,1282,1344,1411,1945,1848,1850,1921,1377,1220,1257,1352,863,878,922,939,42,37,41,45,27,24,25,23,31
DC,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Biomass,4982,5101,5134,5356,5510,5577,5852,5783,6591,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2438,1569,1645,1691,2395,2330,2381,2543,2101,1833,1889,2181,1207,1190,1246,1270,1694,3382,4666,5430,6173,6901,6780,5971,5990
DE,Coal,20496,20776,22586,26494,29241,29030,38690,40712,44082,41720,37238,36677,23493,21047,21254,22938,20186,17713,21812,23914,28063,50618,47947,73014,72797,71436,66423,70471,69034,61212,59491,56853,46120,63469,57477,52448,50779,48586,45817,35915,50147,38335,40536,46997,53599,56716,56625,63839,60891,33938,30253,17881,17384,18254
DE,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,2737,3426,2823,3048,3898,3642,3519,3662
DE,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,60,64,68,63,67,71,76,79,89,89,100,109,142,154,176,204,247,294,367,414,401,430,430
DE,Hydropower,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Natural Gas,9351,9708,14999,17082,17826,18742,19845,21948,25069,26949,26949,26981,24569,23408,20772,18975,19662,16261,21263,25758,30840,31716,28752,35512,43865,39456,33604,37254,29930,35901,40145,43374,40994,43069,50397,62739,55935,48141,42322,58089,50181,51817,53782,47978,49739,48639,44788,49937,49752,51652,56087,81710,104421,100684
DE,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Petroleum,124241,117729,123280,128458,125899,134132,135912,125957,134673,145229,154133,154266,174311,194651,189919,174573,185701,189945,181420,192223,185093,138655,121967,122949,129196,123022,128041,131363,144966,141634,139535,139140,147995,147377,141570,126397,142684,131503,132269,136223,130954,138623,134183,136670,127533,136415,125501,123407,115779,90226,90361,103587,101176,98829
DE,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,27,26,25,23,21,18,15,13,10,7,8,12,33,53,91,141,414,634,1044
DE,Total Consumption,164052,158415,171133,182746,183986,193058,206151,200183,217009,228044,232362,233270,238753,256072,248877,232288,244763,244241,245829,259353,248940,225001,205006,235923,251712,239952,233598,243412,248550,243701,242392,242745,238583,258801,254195,246440,254581,232533,224176,234115,235751,231304,231003,234289,233572,245342,233895,246795,237629,188620,191083,217600,236022,231264
DE,Wood and Waste,4982,5101,5134,5356,5510,5577,5852,5783,6591,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2438,1569,1645,1691,2395,2330,2381,2543,2101,1833,1889,2181,1207,1190,1246,1270,767,646,1240,2607,3125,3003,3138,2452,2328
DE,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,47,35,43
FL,Biomass,32690,31611,33321,35838,35983,36798,39739,41567,47044,48627,47974,47318,51917,53820,49804,47568,53819,57416,62995,66926,87819,81817,102795,92271,110474,111939,116654,106526,112284,205324,170933,183237,200092,185167,182190,186456,206119,197033,171827,171638,164155,127388,144171,157601,149004,157566,161792,168986,209752,238894,246789,245571,244657,254259
FL,Coal,27176,36267,39644,43281,46691,55189,70146,96160,103172,104100,116720,117154,123613,152578,146604,133463,141836,159934,175522,202251,225457,236471,240178,318946,378652,472352,459413,586620,611464,636640,633390,650316,649439,654527,663382,686924,745817,751335,749474,716280,760439,725890,719670,723832,699055,672309,696215,720824,693161,581517,637416,552730,482984,505155
FL,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,849,2880,3955,3790,2516,1179,643,779,635,791,795,453,367,199,70,119,122,83,154,90,37,0,4,4401,6265,9091,47055,58997,59150,60024,63538,65448
FL,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,1288,1400,1513,1611,1521,1648,1806,1948,2130,2157,2157,2444,2663,3507,3849,4434,5034,5908,6889,8444,9516,9799,10056,10056
FL,Hydropower,2990,2806,2505,2775,3033,3118,3022,2984,2511,2862,3061,2651,2472,2431,2625,2438,2688,2537,2363,2493,2229,1881,2728,2314,2221,2549,2218,2260,2161,2437,1816,2745,2437,2173,2831,2380,2229,2464,2024,1433,885,1526,1873,2660,2657,2661,2018,1527,2031,2032,1731,1769,1432,2425
FL,Natural Gas,142900,148894,162843,179441,189595,191669,220568,234326,286653,326855,350626,350527,311235,324892,302002,292139,300867,315950,333306,357014,329568,357473,339099,321010,318172,305060,298928,313553,305758,337182,341993,360992,371137,368011,417702,579310,561145,547201,529565,583448,574460,569757,708638,714825,757672,805446,917468,943845,970038,1081725,1180462,1235953,1348390,1245205
FL,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,713,51038,87919,92177,95538,189076,172977,167438,182563,159362,213919,161446,261074,249204,233119,196026,277752,221356,230471,215001,262989,271916,278881,301978,267514,241023,326432,329450,336766,329825,351940,322868,325516,300127,327934,307215,335857,304544,250178,230369,187259,277169
FL,Petroleum,612186,634578,715842,735391,771063,822958,843971,847274,916532,975000,1065681,1168187,1328436,1431890,1347211,1378308,1477527,1502177,1580941,1629663,1651264,1624666,1416724,1417590,1319132,1324676,1503543,1470163,1580015,1574736,1567567,1545410,1567905,1618730,1670995,1599562,1607203,1656094,1839319,1839473,1910520,1944577,1894806,1933067,2096203,2136625,2026748,1950479,1768662,1634168,1729819,1627911,1558885,1592742
FL,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24531,26052,26886,28108,29164,30100,30742,31202,31031,30809,30352,29488,28714,27912,27307,27099,26095,26589,27541,29712,30848,36881,44072,46829,48716
FL,Total Consumption,850632,885767,987476,1032564,1082348,1146530,1217185,1263878,1402956,1506071,1632036,1733155,1870303,2070469,1985969,1993661,2126094,2284506,2391099,2492711,2566719,2543487,2418237,2405848,2500199,2577720,2730529,2781673,3001718,3208688,3144443,3169225,3283712,3316466,3429791,3575457,3629154,3625162,3823408,3845869,3943026,3857509,3995845,4043268,4210058,4262829,4325590,4295310,4225854,4121066,4339581,4193745,4125148,4189986
FL,Wood and Waste,32690,31611,33321,35838,35983,36798,39739,41567,47044,48627,47974,47318,51917,53820,49804,47568,53819,57416,62995,66926,87819,81237,101945,89391,106519,108150,114138,105346,111641,204545,170298,182447,199297,184714,181822,186258,206049,196914,171706,171555,164002,127298,144135,157601,148999,153165,155527,159894,162697,179897,187639,185547,181118,188811
FL,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Biomass,71206,70216,69729,72407,73208,74215,74664,70831,73637,73255,71792,74407,79604,81637,83428,78324,89188,94049,99260,103274,98096,98408,105698,107773,116258,116686,119242,112954,117426,177845,188344,183376,183692,194264,196067,205644,208259,218529,202938,202675,196564,164904,255738,179384,189388,177644,184728,183031,176494,187933,204742,210461,207610,233402
GA,Coal,88950,90769,87199,115509,123813,152600,177237,165942,194909,202716,193155,219607,261592,271501,283947,311988,347552,415733,434380,469598,521518,552108,535439,584816,681531,725678,692512,710572,698991,666790,714128,643363,613139,655174,685757,723817,723082,767969,767394,782617,819530,772021,807121,819031,834991,901010,892732,934773,885849,723449,767906,634756,435546,426184
GA,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,1,0,0,0,0,53,303,726,786,212,392,112,10,0,0,0,0,0,0,0,0,0,2370,3422,5063,27081,34318,35085,34876,36618,38371
GA,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,43,47,49,46,48,51,54,56,91,91,101,107,125,135,153,172,203,227,276,300,291,315,315
GA,Hydropower,24810,24375,27042,30763,45088,33808,34792,38645,32734,32557,26430,34600,35141,43968,38153,45103,45969,42073,38910,45870,45942,24339,38173,43337,43193,29522,22471,33084,21322,40621,47736,44166,50834,45944,44683,43277,48380,43708,53376,28134,25307,26829,27627,41920,36983,40317,25480,22102,21133,31815,32407,26282,21281,35431
GA,Natural Gas,188460,186255,199380,195667,215579,219774,243089,265271,295289,324940,342834,353199,341408,358532,339589,335376,268375,271811,286035,324478,325288,325161,303491,303215,315315,289696,286617,311309,331106,325860,319413,331788,351539,360194,352024,383519,393513,381726,378565,347120,421337,362695,393134,390774,406441,427825,433924,455223,436093,475294,541691,532310,625008,635496
GA,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,34063,45666,39985,46798,55429,92015,79799,73144,84771,59331,107602,76574,159333,160615,264167,262401,272752,293149,286059,302346,322151,314302,319170,329212,328946,338660,351739,324827,346601,351921,329092,333981,341364,331235,331368,350268,338052,355674,343801
GA,Petroleum,301981,298805,328322,343718,360334,391005,414108,454192,488806,520713,553775,596635,653740,719889,694698,655879,727708,757982,755144,742944,692533,653194,643212,685836,728299,771931,753682,791834,825331,797302,815682,780812,795480,874380,882003,926229,978272,939627,963042,1014924,1015253,1012795,1008301,1034344,1080440,1123714,1093452,1059498,975818,1027149,1051361,1017446,932478,918398
GA,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,107,116,125,136,146,163,174,193,210,226,237,242,252,261,265,271,280,293,326,373,461,617,796,1300
GA,Total Consumption,746613,740636,781401,830471,891230,945617,1018554,1065712,1159012,1227436,1259778,1352855,1451089,1557164,1523730,1539057,1613646,1715682,1759787,1844867,1873488,1831417,1804855,1917520,2060185,2157801,2070340,2232040,2272217,2450570,2536195,2439792,2471698,2610464,2659140,2810492,2874292,2889505,2897731,2907408,3013543,2856230,3072845,2991824,3089952,3177663,3149456,3179495,3002278,2960073,3148130,2965093,2782387,2824538
GA,Wood and Waste,71206,70216,69729,72407,73208,74215,74664,70831,73637,73255,71792,74407,79604,81637,83428,78324,89188,94049,99260,103274,98096,98371,105697,107771,116258,116686,119242,112954,117373,177542,187618,182590,183481,193872,195956,205634,208259,218529,202938,202675,196564,164904,255738,179384,189388,175267,181285,177945,148022,148098,163909,170002,167061,191840
GA,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,Biomass,0,0,0,206,224,172,144,258,678,729,429,347,550,543,591,569,701,460,275,327,11910,12745,12440,14035,14301,14217,16314,17846,19426,26984,25924,25446,24901,24388,20724,19803,19066,17433,16548,16981,15194,7947,7480,9305,9336,9565,9875,9693,11795,12225,10448,10550,9604,11160
HI,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1040,941,1124,395,1573,1242,795,721,1063,6750,15575,15740,19914,20371,20513,18223,17691,17653,17774,16618,19256,19254,17956,17527,19007,20158,18958,17117,16080,16572,15306
HI,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,1351,1724,3185,3638,2783,3230,2932,3008
HI,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,197,184,133,168,147,0,0,23,1570,1912,2419,2502,2506,2418,2162,2681,2143,748,1813,2144,2224,2114,2280,2316,1643,1964,2183,2491,2630
HI,Hydropower,292,258,214,240,1205,1093,1165,1131,979,1043,1131,936,941,985,958,929,962,895,868,931,898,840,942,885,855,893,817,855,834,581,827,741,632,580,1438,1009,1076,1178,1237,1175,1055,1041,967,916,941,962,1191,913,831,1099,687,905,1090,747
HI,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,2780,2773,2730,2438,2687,2674,2787,2816,2909,2983,2909,2892,2847,2920,2906,2825,2689,2803,2886,2975,2920,2898,2861,2907,2898,2914,2956,2817,2712,2732,2744,2813,2861
HI,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,Petroleum,94563,113514,108092,113862,122052,129324,144196,162479,181145,189117,195419,210416,216597,222815,210590,212931,218424,232006,235835,255413,249648,223223,203756,205387,216113,232124,227619,228895,268024,280098,292763,266575,272492,239475,258204,252515,238803,230561,233636,229990,235315,239948,257593,269486,282923,295104,296907,305441,242490,239321,240282,248756,240835,236027
HI,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,899,974,1028,1086,1143,1196,1244,1259,1302,1335,1347,1316,1337,1378,1423,1468,1571,1769,2232,2645,3360,4641,6692,9261
HI,Total Consumption,94855,113772,108306,114514,123705,130761,145649,164126,183480,191618,197408,212046,218638,224886,212730,214998,220788,233821,237253,256998,277381,252333,233500,238112,249165,265459,264317,269935,311936,339673,350341,323526,333854,310135,323015,319775,305186,293736,292912,289370,291587,281058,295137,314336,328339,339808,342764,354106,296798,293281,289584,299720,293300,293953
HI,Wood and Waste,0,0,0,206,224,172,144,258,678,729,429,347,550,543,591,569,701,460,275,327,11910,12731,12437,14035,14301,14217,16314,17846,19426,26984,25924,25446,24901,24388,20724,19803,19066,17433,16548,16981,15194,7947,7480,9305,9336,8382,8524,7969,8609,8586,7664,7320,6672,8151
HI,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,300,372,235,226,210,210,233,164,197,169,173,22,16,16,75,66,790,2354,2365,2454,2547,3311,3599,4802
IA,Biomass,6404,6163,5749,5460,5579,5462,5963,5834,6353,6204,6264,6557,6925,7276,7672,7887,8495,8952,9649,9652,48728,53916,57308,62415,65969,65590,90023,97542,104283,70577,64850,66649,69783,73113,74190,73847,78822,71580,69391,71068,66147,62556,65814,75183,90645,97929,109477,138446,163166,205639,239261,231438,216610,227581
IA,Coal,115945,104513,114293,116201,112797,126638,125400,120832,120036,127011,130867,124704,144863,148656,128173,131562,169471,185141,201296,219445,234425,252126,243876,253663,251547,268806,262130,287346,306130,317665,334999,349273,329253,344102,348935,372311,383702,391698,424859,432009,445888,443921,441534,444587,443221,429777,435187,465167,485218,444574,493794,463138,422595,402402
IA,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1831,4110,4113,3554,2843,2901,3354,3396,3870,3070,3823,4738,5589,6412,6280,4017,4891,6048,6548,7690,8080,8291,8862,9368,2920,2654,4577,8171,7946,13430,14099,13102,12926
IA,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,63,68,73,78,167,187,224,247,303,315,315,338,369,497,555,647,708,785,874,1037,1170,1359,1281,1281
IA,Hydropower,9481,9550,9830,7943,7219,9698,9031,8409,9891,9046,9816,9565,10310,9415,9304,9142,6692,8136,9639,9296,9828,10260,9599,9675,9587,10334,9953,10115,7218,7009,9103,9404,10339,7703,11049,10343,9671,8221,9309,9670,9222,8733,9628,7985,9475,9594,9020,9512,8071,9479,9250,8991,7291,7147
IA,Natural Gas,193688,211826,221026,220538,244609,249988,244028,278580,303746,325026,351800,347740,347617,369016,371639,348564,313917,281367,238754,292191,270390,253991,238986,223605,238368,228388,208971,204688,240801,228223,220396,235810,232529,248804,250453,262504,274011,256790,234619,235085,233736,225233,227137,230851,227500,242788,241316,296207,329030,317392,312941,309672,299315,335639
IA,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14842,25235,27384,31102,13225,31432,27955,24309,25126,25177,29274,20467,31666,26348,33536,33221,31868,43475,35655,33981,42930,39191,41210,43541,39525,38041,46439,40234,47761,41559,51399,47362,53171,47398,55210,48937,46518,54572,45552,55597
IA,Petroleum,285365,277087,285179,291384,291863,294532,318402,331081,341384,348707,346782,358491,374392,396191,377526,374320,411473,418360,415805,426639,350704,329077,339913,319597,313070,314525,318737,309898,318172,312492,304897,304910,315052,346835,361724,369212,370804,368122,393903,409519,404987,391183,406845,385173,426027,433490,440613,427601,420635,414964,421070,422840,408380,427080
IA,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,10,10,10,10,9,9,9,8,7,7,6,5,10,18,22,26,43,51,60,82,142
IA,Total Consumption,617287,615302,641826,646986,667646,691780,708787,750570,787763,822198,851793,853614,891032,937830,916828,904597,945927,942010,898017,998307,990758,975126,969141,952901,969133,969085,1003025,1021703,1102741,1025758,1017073,1060769,1043086,1103695,1136689,1174711,1210753,1185483,1215222,1243140,1251027,1212986,1247522,1235148,1299278,1312008,1336017,1440438,1534572,1549156,1653796,1629051,1565031,1637853
IA,Wood and Waste,6404,6163,5749,5460,5579,5462,5963,5834,6353,6204,6264,6557,6925,7276,7672,7887,8495,8952,9649,9652,48728,49616,50223,54656,57764,58132,78644,82412,89205,52636,47818,47348,45655,43480,40818,40825,48281,40383,37255,37539,31558,27660,30789,30503,30567,31021,20863,23476,23929,26721,26845,18832,17290,19520
IA,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3337,5037,5041,9347,9942,10516,16470,22990,27247,40242,72424,89466,104050,133533,148538
ID,Biomass,11354,10813,10825,10560,11059,10361,10269,10300,10659,10620,11476,11181,11368,11209,10332,11103,13792,15540,17065,18844,14646,16321,16085,17969,18432,18744,19410,17002,17771,26775,24350,24416,25784,25189,24060,25630,26166,28607,27359,28093,27857,28445,22444,22967,25924,35308,32916,34932,36166,29184,33561,31176,31022,33337
ID,Coal,16845,17103,18028,16589,18234,15863,14867,13401,11552,9853,7935,12157,10531,10636,11362,13416,15162,12102,11424,11856,9610,9801,10358,9466,9020,8870,8617,8859,9710,9757,10086,12271,9620,9782,9663,8946,7311,6410,8783,7976,13732,11395,10194,10219,12336,11286,8212,10261,8604,8443,8527,7846,5186,7965
ID,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71,63,138,166,204,379,650,575,649,405,64,56,37,0,0,0,0,0,0,0,0,0,1170,1128,1876,2309,2739,3349,4201,4673,4946
ID,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,536,535,535,535,535,521,529,522,555,1262,1307,1520,1530,1312,1397,1525,1510,1537,2325,2122,2120,2164,2213,1881
ID,Hydropower,66333,59590,63159,62667,65833,69417,71110,71952,70145,65608,74260,78264,81408,86007,101140,106908,107589,70428,102269,94885,98760,99374,121177,134351,137756,113491,126946,84444,69638,97532,94814,91266,68815,100157,81663,113322,137349,149882,131904,138042,111871,74637,89210,84585,84752,85413,111513,89170,92258,101838,89309,130241,104109,80845
ID,Natural Gas,22776,24808,26709,28366,33014,36092,38992,35929,40387,42389,49411,53152,60084,59296,55285,63776,49843,48269,46570,56792,51646,48107,42849,36833,40341,41115,35450,37780,41551,46904,46786,52741,50382,58294,59069,65687,69191,70801,71912,73361,74518,81804,73482,71754,78273,78118,79041,83904,90550,87072,85075,83947,90339,107106
ID,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Petroleum,73671,77701,81115,79290,84097,86858,87995,104399,110717,105986,105173,107423,114042,117939,120264,125543,130381,134954,143659,135450,112743,98657,96078,100700,98762,102018,103949,105309,108466,115817,120137,120555,118761,128733,132367,140994,150267,146685,152770,165224,167567,155595,160207,140425,156574,161013,166608,164615,155140,149693,162542,162365,159540,163624
ID,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,3,10,16,20,25,29,37,43,57,70
ID,Total Consumption,202333,200828,210661,208032,223296,228952,233502,246281,254119,245076,259731,273358,288801,296296,308715,331849,330559,296833,338052,336671,302051,288581,302632,317289,322558,302641,313423,270005,264517,323732,320755,325847,299367,347567,331037,380374,416837,431269,420360,441795,424406,381516,379078,353734,384967,407981,434413,420979,421233,409946,415941,458651,438820,448919
ID,Wood and Waste,11354,10813,10825,10560,11059,10361,10269,10300,10659,10620,11476,11181,11368,11209,10332,11103,13792,15540,17065,18844,14646,16321,16065,17899,18184,18265,18885,16407,17002,25759,23469,23412,25063,24811,23622,25235,26022,28360,27075,27835,27553,28118,22008,22469,25708,34138,31787,32961,31812,25767,27121,23972,23690,25673
ID,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,1703,2044,3059,4300,12696,17991,23472
IL,Biomass,31033,30135,30865,32563,32631,33209,35275,35570,38299,39935,39317,39199,39932,42523,42652,41624,46126,49962,61593,63281,90927,98923,107137,125003,123273,128846,139818,150417,159343,130459,101160,107182,112998,96425,99239,96147,81943,89677,89509,91739,95574,98429,109057,124112,122403,103506,97507,112657,126903,147147,147792,133879,132253,136667
