State,Source,coef,intercept
State,MSN,0.99999999999991862,1.6062877632103116e-10
AK,Biomass,116.42424242423485,-224547.86666665165
AK,Coal,-940.85454545448101,1869108.3999998725
AK,Ethenol,0.0,0.0
AK,Geothermal,0.0,0.0
AK,Hydropower,170.35757575756264,-332345.33333330735
AK,Natural Gas,10238.212121211489,-20122461.933332082
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,5693.4848484845634,-11115413.333332771
AK,Solar,0.0,0.0
AK,Total Consumption,15277.678787877914,-29925767.666664939
AK,Wood and Waste,116.42424242423485,-224547.86666665165
AK,Wind,0.0,0.0
AL,Biomass,1680.6484848483969,-3258003.9333331594
AL,Coal,-4681.739393939255,9890374.9333330579
AL,Ethenol,0.0,0.0
AL,Geothermal,0.0,0.0
AL,Hydropower,1109.4909090910664,-2084770.2000003105
AL,Natural Gas,-5089.0909090906698,10322587.399999527
AL,Nuclear Energy,30616.509090907188,-60367247.999996223
AL,Petroleum,23308.018181817006,-45550280.599997677
AL,Solar,0.0,0.0
AL,Total Consumption,48624.484848482083,-94305344.333327845
AL,Wood and Waste,1680.6484848483969,-3258003.9333331594
AL,Wind,0.0,0.0
AR,Biomass,1859.5757575756384,-3631113.933333098
AR,Coal,2867.5212121210366,-5654993.3333329866
AR,Ethenol,0.0,0.0
AR,Geothermal,0.0,0.0
AR,Hydropower,505.6000000000289,-970027.20000005688
AR,Natural Gas,-16009.599999999389,31897915.199998789
AR,Nuclear Energy,7456.5515151510808,-14697528.466665806
AR,Petroleum,16430.678787878071,-32096250.666665249
AR,Solar,0.0,0.0
AR,Total Consumption,14969.903030302108,-28783112.33333151
AR,Wood and Waste,1859.5757575756384,-3631113.933333098
AR,Wind,0.0,0.0
AZ,Biomass,414.70303030300556,-813181.93333328445
AZ,Coal,27224.24242424074,-53664089.266663335
AZ,Ethenol,0.0,0.0
AZ,Geothermal,0.0,0.0
AZ,Hydropower,719.46666666667102,-1347842.1333333419
AZ,Natural Gas,-6027.4060606056109,12100197.066665776
AZ,Nuclear Energy,0.0,0.0
AZ,Petroleum,15285.206060605424,-29879039.46666541
AZ,Solar,0.0,0.0
AZ,Total Consumption,38030.915151513225,-74417137.666662842
AZ,Wood and Waste,414.70303030300556,-813181.93333328445
AZ,Wind,0.0,0.0
CA,Biomass,5511.8545454542327,-10745014.99999938
CA,Coal,1890.6545454543691,-3670846.799999651
CA,Ethenol,0.0,0.0
CA,Geothermal,3996.975757575563,-7866813.7333329478
CA,Hydropower,-12469.454545453404,24977803.599997748
CA,Natural Gas,-63703.478787875196,127792446.46665955
CA,Nuclear Energy,7470.5151515147154,-14694209.866665803
CA,Petroleum,140447.2545454471,-274208252.99998528
CA,Solar,0.0,0.0
CA,Total Consumption,88656.175757571546,-169159903.33332497
CA,Wood and Waste,5511.8545454542327,-10745014.99999938
