State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
IA,2742000,2762000,2793000,2803000,2805000,2825000,2824376,2851705,2860287,2863715,2867530,2880847,2913573,2918069,2915739,2913808,2913808,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2776755,2779769,2791227,2806923,2829422,2840860,2848473,2854396,2861025,2869413,2926324,2928703,2932151,2935295,2942070,2944062,2953679,2965524,2982085,3007856,3046355,3064102,3075039,3090416
KS,2206000,2200000,2197000,2216000,2236000,2249000,2246578,2246600,2256375,2265603,2269499,2280578,2320647,2335657,2350906,2363679,2363679,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2477574,2480683,2495209,2526042,2569118,2586942,2598266,2616339,2638667,2654052,2688418,2692947,2702446,2714792,2727042,2723507,2738356,2748172,2764075,2818747,2853118,2869548,2885398,2893957
KY,3140000,3147000,3172000,3195000,3198000,3219000,3218706,3298053,3335728,3371024,3416315,3467769,3573693,3609976,3641804,3660777,3660777,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3685296,3692584,3714686,3756358,3823215,3855248,3881051,3907816,3934310,3960825,4041769,4049260,4067643,4088977,4114489,4117827,4140427,4172608,4206074,4314113,4339367,4366869,4379730,4395295
LA,3496000,3550000,3581000,3603000,3619000,3643000,3641306,3710487,3761646,3788375,3820109,3886104,4014459,4068579,4137665,4205900,4205900,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219973,4219179,4240950,4270849,4306500,4327978,4338763,4351390,4362758,4372035,4468976,4469529,4463421,4470543,4480925,4496334,4495706,4507331,4287768,4492076,4533372,4575197,4602134,4625470
ME,997000,999000,1004000,994000,992000,994000,992048,1015390,1034292,1045655,1059040,1071995,1103578,1113566,1122563,1124660,1124660,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1227928,1231296,1235439,1235748,1237687,1237438,1241436,1245215,1247554,1253040,1274923,1277483,1286419,1296817,1307151,1305728,1313921,1318220,1321574,1318301,1328361,1327844,1328501,1328302
MD,3600000,3695000,3757000,3815000,3868000,3922000,3922399,4018324,4073499,4097974,4118815,4139096,4169595,4183603,4191160,4216975,4216975,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4781468,4797431,4856176,4902545,4985411,5023650,5057142,5092914,5130072,5171634,5296486,5311695,5379795,5441349,5506684,5508909,5553249,5589599,5615727,5699478,5773552,5840241,5884868,5928814
MA,5502000,5535000,5594000,5618000,5650000,5689000,5689170,5737580,5760302,5781172,5773548,5757756,5738199,5736469,5738404,5737037,5737037,5768685,5771222,5799407,5840773,5880733,5902678,5935204,5979982,6015478,6016425,6018664,5998652,5993474,6031352,6062335,6085393,6115476,6144407,6175169,6349097,6362604,6406727,6431247,6439592,6433422,6435995,6433367,6437193,6593587,6547629,6606285,6645303,6692824
MI,8357000,8512000,8630000,8696000,8781000,8875000,8875083,8974186,9028944,9077956,9117507,9117668,9171110,9217761,9266268,9262078,9262078,9209287,9115198,9047754,9049452,9076293,9127775,9187481,9217998,9253295,9295297,9310462,9395022,9470323,9584481,9659871,9739184,9785450,9820231,9863775,9938444,9956689,10003243,10038165,10068311,10079985,10093398,10100833,10095643,9969727,9883640,9874589,9882519,9895622
MN,3592000,3617000,3659000,3703000,3758000,3805000,3804971,3853486,3869747,3889332,3903925,3932515,3989364,4015341,4050316,4075970,4075970,4111728,4131450,4141456,4157706,4184302,4205212,4235136,4296166,4338057,4375099,4387283,4427429,4471503,4566028,4605445,4647723,4687726,4726411,4775508,4919479,4934275,4985851,5024570,5059023,5059375,5094304,5126739,5167101,5266214,5303925,5347108,5379646,5420380
MS,2246000,2245000,2228000,2219000,2220000,2217000,2216912,2265432,2307117,2349546,2378268,2399449,2459201,2487816,2507069,2520638,2520638,2539036,2556777,2567717,2578051,2588102,2593597,2588545,2580352,2574269,2573216,2577426,2591230,2610193,2663450,2690788,2709925,2731826,2751335,2768619,2844658,2848634,2856108,2863091,2874171,2881281,2892668,2908496,2910540,2951996,2967297,2977886,2986450,2991207
