State,Source,coef,intercept
State,MSN,0.99999999999991041,1.8004228106887292e-10
AK,Biomass,-678.04848484839647,1359170.303030126
AK,Coal,312.45454545450156,-609950.89090900309
AK,Ethenol,71.024242424235865,-141388.35151513841
AK,Geothermal,1.9090909090906931,-3753.181818181386
AK,Hydropower,35.248484848496403,-58856.903030326037
AK,Natural Gas,10939.660606060032,-21421021.278786719
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,6978.5818181808463,-13684056.436361689
AK,Solar,-0.054545454545448388,109.69090909089675
AK,Total Consumption,17519.012121210624,-34277535.575754575
AK,Wood and Waste,-749.12727272717757,1500667.345454355
AK,Wind,0.0,0.0
AL,Biomass,7891.2363636357895,-15552184.927271575
AL,Coal,20181.575757574617,-39444343.248482555
AL,Ethenol,-225.79393939391443,451514.41212116223
AL,Geothermal,2.9090909090905979,-5782.1818181811959
AL,Hydropower,-1126.7454545452622,2352749.1090905243
AL,Natural Gas,11004.757575756754,-21638680.884846836
AL,Nuclear Energy,21891.121212119688,-43425614.5575727
AL,Petroleum,6163.4666666662642,-11777797.066665864
AL,Solar,-1.1999999999997073,2540.3999999994157
AL,Total Consumption,73898.284848479976,-145041153.23029327
AL,Wood and Waste,8116.9575757569792,-16003554.284847287
AL,Wind,0.0,0.0
AR,Biomass,1388.2969696969119,-2688012.6060604895
AR,Coal,6571.0363636357215,-12872148.327271443
AR,Ethenol,-50.927272727271131,101701.74545454224
AR,Geothermal,6.8424242424236459,-13510.515151513957
AR,Hydropower,-1097.9757575756514,2224863.4484846354
AR,Natural Gas,5873.1272727265505,-11464439.145453103
AR,Nuclear Energy,1802.7636363636623,-3461355.072727323
AR,Petroleum,9165.1818181809431,-17980576.23636188
AR,Solar,-33.945454545450694,68923.109090901387
AR,Total Consumption,25063.630303028087,-48874279.939389497
AR,Wood and Waste,1439.2303030302458,-2789726.3393938248
AR,Wind,0.0,0.0
AZ,Biomass,-94.642424242396714,203168.91515146018
AZ,Coal,3729.2727272725751,-7068206.4545451468
AZ,Ethenol,228.39999999998003,-454560.99999996001
AZ,Geothermal,2.8484848484845258,-5439.5030303023841
AZ,Hydropower,5187.0121212114927,-10257854.975756317
AZ,Natural Gas,3587.1030303025645,-7017449.3939384613
AZ,Nuclear Energy,10515.193939393264,-20697276.012119859
AZ,Petroleum,16145.581818180277,-31794461.436360542
AZ,Solar,13.721212121212607,-23522.957575758533
AZ,Total Consumption,38991.460606057168,-76457897.078780979
AZ,Wood and Waste,-323.03030303025577,657705.73939384485
AZ,Wind,0.0,0.0
CA,Biomass,-9197.7393939385111,18532563.321210351
CA,Coal,-2137.569696969384,4345130.8606054345
CA,Ethenol,418.62424242419553,-830128.3515150575
CA,Geothermal,-3127.1757575754382,6378226.6484842096
CA,Hydropower,29708.066666663402,-58888819.666660123
CA,Natural Gas,15865.339393938662,-29417137.321210653
CA,Nuclear Energy,307.23030303019073,-268975.33939371502
CA,Petroleum,4796.1393939358095,-6239239.1212049685
CA,Solar,197.73939393940316,-369959.5212121394
CA,Total Consumption,27431.91515151002,-47798829.569686703
CA,Wood and Waste,-9611.6727272717999,19353075.654543601
CA,Wind,212.93333333335477,-393566.73333337595
CO,Biomass,507.66060606057147,-998236.67878780945
CO,Coal,3580.7696969693461,-6791774.660605357
CO,Ethenol,569.50909090903929,-1132835.5818180784
CO,Geothermal,8.6181818181808758,-16764.363636361748
CO,Hydropower,83.563636363673979,-148960.47272734766
