State,Source,coef,intercept
State,MSN,0.99999999999999101,1.8838289792350119e-11
AK,Biomass,337.01212121209255,-665065.65454539761
AK,Coal,-604.52727272711707,1208929.0727269638
AK,Ethenol,0.19393939393937165,-384.27272727268286
AK,Geothermal,2.7818181818178767,-5515.4181818175748
AK,Hydropower,479.8909090908673,-944821.30909082596
AK,Natural Gas,15774.321212120141,-31074591.745452415
AK,Nuclear Energy,0.0,0.0
AK,Petroleum,13454.012121211172,-26501487.454543557
AK,Solar,0.054545454545448555,-108.14545454544263
AK,Total Consumption,29443.618181816237,-57982805.181814313
AK,Wood and Waste,336.86060606057742,-664765.4727272155
AK,Wind,0.0,0.0
AL,Biomass,1881.8606060606594,-3573946.2727273772
AL,Coal,9452.0181818163164,-18133710.381814472
AL,Ethenol,409.90909090904893,-812138.49090900726
AL,Geothermal,0.59999999999993403,-1189.5999999998685
AL,Hydropower,-592.32727272720922,1265537.6727271464
AL,Natural Gas,-4567.3818181816432,9307171.4181814678
AL,Nuclear Energy,-21720.157575755195,43304844.309086181
AL,Petroleum,3615.4606060599399,-6733356.6727259466
AL,Solar,7.4727272727264511,-14815.927272725639
AL,Total Consumption,-10040.660606060426,21846720.472726908
AL,Wood and Waste,1471.8848484849434,-2761675.5818183697
AL,Wind,0.0,0.0
AR,Biomass,2407.8484848482985,-4716023.0181814469
AR,Coal,17846.824242423558,-35248760.109089538
AR,Ethenol,-7.4424242424222511,14821.49090908695
AR,Geothermal,5.3454545454539586,-10598.254545453377
AR,Hydropower,1568.3030303029855,-3084541.1636362746
AR,Natural Gas,-5128.0727272726854,10400379.927272638
AR,Nuclear Energy,1404.3333333333153,-2689447.3999999641
AR,Petroleum,-2807.5696969696241,5847862.1636362188
AR,Solar,69.327272727265139,-137452.87272725761
AR,Total Consumption,17774.193939392931,-34354615.872725263
AR,Wood and Waste,2415.2969696967821,-4730856.6363632632
AR,Wind,0.0,0.0
AZ,Biomass,-367.37575757565435,750140.09090888582
AZ,Coal,3953.0000000004211,-7534333.6000008322
AZ,Ethenol,-2.1454545454541702,4264.2545454537994
AZ,Geothermal,12.818181818180413,-25414.18181817903
AZ,Hydropower,149.89696969717986,-184670.83636405334
AZ,Natural Gas,-4773.6727272725138,9613328.5272723027
AZ,Nuclear Energy,21100.060606058243,-41814633.072722569
AZ,Petroleum,8267.0242424232765,-16089919.109088987
AZ,Solar,192.43636363634252,-381537.16363632161
AZ,Total Consumption,28166.830303028022,-54916935.436359093
AZ,Wood and Waste,-365.21212121201825,745839.65454525
AZ,Wind,0.0,0.0
CA,Biomass,8672.4242424236563,-17055485.309089735
CA,Coal,-1657.7818181817838,3343191.6181817488
CA,Ethenol,210.82424242424872,-415869.10909092135
CA,Geothermal,9535.9696969688248,-18837421.163634624
CA,Hydropower,-20382.333333330829,40838025.399995014
CA,Natural Gas,12717.236363634045,-23401156.163631756
CA,Nuclear Energy,40857.460606056549,-80899578.67271921
CA,Petroleum,34645.757575749558,-65506132.909074984
CA,Solar,1087.8606060604875,-2156832.2727270364
CA,Total Consumption,95289.733333319178,-182992582.19997182
CA,Wood and Waste,8417.9272727266834,-16553089.672726098
CA,Wind,1184.3878787877493,-2348233.9454542878
CO,Biomass,142.35151515155795,-267253.58181826666
CO,Coal,6944.5393939389742,-13494419.92727189
CO,Ethenol,63.042424242423756,-124638.8909090899
CO,Geothermal,21.818181818179433,-43258.181818177058
CO,Hydropower,303.92727272726268,-583587.87272725254
CO,Natural Gas,-296.75151515182529,813040.9818187973
CO,Nuclear Energy,-425.04242424240647,848017.89090905513
CO,Petroleum,2095.8545454542054,-3835569.9454538696
CO,Solar,7.7999999999991436,-15464.799999998297
CO,Total Consumption,8926.1575757565734,-16824596.509088911
CO,Wood and Waste,68.618181818225636,-121462.18181826871
CO,Wind,0.0,0.0
CT,Biomass,-1462.290909090761,2937836.9090906135
CT,Coal,3336.6181818178602,-6610015.3818175411
CT,Ethenol,-4.0787878787867937,8127.2545454523906
CT,Geothermal,0.0,0.0
CT,Hydropower,118.06060606060149,-230748.67272726359
CT,Natural Gas,2536.9818181815999,-4950356.4181813821
CT,Nuclear Energy,11429.345454544296,-22512425.254543152
CT,Petroleum,4555.4363636352391,-8574095.36363413
CT,Solar,3.5454545454541564,-7029.4545454537702
CT,Total Consumption,19055.406060603542,-37008996.72726772
CT,Wood and Waste,-1458.2121212119739,2929709.6545451609
CT,Wind,0.0,0.0
DC,Biomass,-49.054545454537809,100159.34545453024
DC,Coal,-231.38181818179589,461490.01818177383
DC,Ethenol,0.45454545454540557,-900.74545454535712
DC,Geothermal,0.0,0.0
DC,Hydropower,0.0,0.0
DC,Natural Gas,524.64242424238387,-1010736.8909090104
DC,Nuclear Energy,0.0,0.0
DC,Petroleum,-174.17575757578493,389884.29090914514
DC,Solar,0.0,0.0
DC,Total Consumption,3107.6060606058122,-6000412.5272722309
DC,Wood and Waste,-49.454545454537744,100951.74545453013
DC,Wind,0.0,0.0
DE,Biomass,-9.1090909090874934,20626.290909084128
DE,Coal,3143.8727272727583,-6177913.9272727873
DE,Ethenol,0.0,0.0
DE,Geothermal,2.7272727272724291,-5407.2727272721322
DE,Hydropower,0.0,0.0
DE,Natural Gas,396.50909090910517,-752189.29090911918
DE,Nuclear Energy,0.0,0.0
DE,Petroleum,-1762.8606060610268,3635085.4727281067
DE,Solar,1.5272727272725601,-3028.0727272723939
DE,Total Consumption,1763.5575757572101,-3262200.5090901824
DE,Wood and Waste,-9.1090909090874934,20626.290909084128
DE,Wind,0.0,0.0
FL,Biomass,8267.1696969689219,-16293407.963634821
FL,Coal,51957.024242419589,-102692095.30908163
FL,Ethenol,47.545454545476112,-92636.854545497335
FL,Geothermal,63.16363636362945,-125232.4363636226
FL,Hydropower,9.2848484848488511,-16125.981818182541
FL,Natural Gas,-3033.7393939390599,6343036.1272720629
FL,Nuclear Energy,7827.5818181812519,-15318254.018180689
FL,Petroleum,-2852.7939393961246,7149620.472731607
FL,Solar,1338.0545454543985,-2652916.1454542531
FL,Total Consumption,71842.921212112429,-139898795.34543708
FL,Wood and Waste,8219.6303030295039,-16200783.236362044
FL,Wind,0.0,0.0
GA,Biomass,5587.7696969692024,-10971890.363635382
GA,Coal,21688.054545453175,-42402948.745451823
GA,Ethenol,17.157575757573952,-34009.709090905497
GA,Geothermal,2.0181818181815965,-4001.3818181813772
GA,Hydropower,-1034.6787878787743,2087520.4545454273
GA,Natural Gas,63.272727272546874,186141.07272763076
GA,Nuclear Energy,15573.969696967863,-30790807.763632715
GA,Petroleum,19019.151515149479,-37009190.781814128
GA,Solar,5.6181818181812009,-11138.981818180589
GA,Total Consumption,66492.963636357206,-129888243.03635083
GA,Wood and Waste,5570.6303030298113,-10937916.836362656
GA,Wind,0.0,0.0
HI,Biomass,1310.3999999998725,-2584466.9999997462
HI,Coal,98.284848484846847,-194220.38181817852
HI,Ethenol,-0.68484848484837468,1360.781818181599
HI,Geothermal,22.406060606059029,-44360.327272724135
HI,Hydropower,-21.187878787876574,42887.345454541035
HI,Natural Gas,-3.3393939393971723,9387.9272727336866
HI,Nuclear Energy,0.0,0.0
HI,Petroleum,4824.5999999991172,-9340929.9999982454
HI,Solar,45.327272727267761,-89868.872727262831
HI,Total Consumption,7605.6545454534016,-14823240.345452271
HI,Wood and Waste,1311.0848484847209,-2585827.7818179275
HI,Wind,18.763636363634305,-37202.036363632273
IA,Biomass,5047.4242424238037,-9944978.309090035
IA,Coal,8407.2606060598864,-16416437.272725837
IA,Ethenol,228.23030303031314,-449925.83636365633
IA,Geothermal,3.0545454545451203,-6056.1454545447878
IA,Hydropower,-257.59999999997029,520564.99999994092
IA,Natural Gas,-4225.4848484847198,8619115.7818179224
IA,Nuclear Energy,780.32121212109166,-1520839.5454543061
IA,Petroleum,-3463.2909090908074,7195519.3090907047
IA,Solar,0.490909090909037,-973.30909090898365
IA,Total Consumption,9826.9030303017043,-18503551.963633727
IA,Wood and Waste,3306.4969696966532,-6499541.6363630053
IA,Wind,0.0,0.0
ID,Biomass,778.97575757570326,-1527561.8909089826
ID,Coal,-57.612121212115625,123738.05454544343
ID,Ethenol,59.290909090903149,-117493.70909089726
ID,Geothermal,29.236363636360434,-57965.963636357264
ID,Hydropower,-2723.3272727267167,5512789.8727261694
ID,Natural Gas,-710.84848484850681,1452936.4181818611
ID,Nuclear Energy,0.0,0.0
ID,Petroleum,942.3454545452089,-1765834.6545449663
ID,Solar,0.10909090909089711,-216.29090909088526
ID,Total Consumption,-1017.9939393937482,2320951.8727268931
ID,Wood and Waste,663.8363636363207,-1299439.9636362779
ID,Wind,0.0,0.0
IL,Biomass,6334.2181818177523,-12444841.381817324
IL,Coal,-9710.0424242416229,20066151.290907495
IL,Ethenol,1619.2363636362168,-3207210.563636071
IL,Geothermal,13.309090909089448,-26387.49090908801
IL,Hydropower,-57.321212121206052,115027.94545453337
IL,Natural Gas,-14484.030303029505,29753037.036362041
IL,Nuclear Energy,53470.72121211575,-105659251.54544365
IL,Petroleum,-23058.424242424724,46947077.509091847
IL,Solar,2.6181818181815308,-5190.981818181247
IL,Total Consumption,15943.533333328302,-27958044.199990004
IL,Wood and Waste,1813.2484848483653,-3496456.0181815797
IL,Wind,0.0,0.0
IN,Biomass,2259.8727272725664,-4421960.3272724058
IN,Coal,17532.551515149386,-33625431.781813949
IN,Ethenol,726.58181818176854,-1438224.4181817193
IN,Geothermal,24.709090909088196,-48989.890909085509
IN,Hydropower,-5.1030303030331101,14920.163636369205
IN,Natural Gas,-4486.3151515149084,9355235.2181813344
IN,Nuclear Energy,0.0,0.0
IN,Petroleum,13469.854545452341,-26005692.545450158
IN,Solar,0.70909090909083117,-1405.8909090907543
IN,Total Consumption,30385.75757575336,-57827062.709082514
IN,Wood and Waste,862.896969696925,-1655513.2363635469
IN,Wind,0.0,0.0
KS,Biomass,1535.0303030301602,-3031364.0363633516
KS,Coal,8499.6545454541156,-16623680.945453685
KS,Ethenol,145.65454545453966,-288087.34545453388
KS,Geothermal,1.1999999999998681,-2379.199999999737
KS,Hydropower,4.0121212121206575,-7875.45454545344
KS,Natural Gas,-13450.806060605675,27063538.127271958
KS,Nuclear Energy,12230.096969695689,-24235087.036361083
KS,Petroleum,8914.9151515140966,-17308066.618179716
KS,Solar,1.963636363636148,-3893.2363636359346
KS,Total Consumption,19084.793939391278,-36811565.872721978
KS,Wood and Waste,1202.9636363635097,-2374454.0363633842
KS,Wind,0.10909090909089907,-216.09090909088914
KY,Biomass,902.49090909092001,-1756312.1090909299
KY,Coal,19510.927272725334,-38014996.072723404
KY,Ethenol,736.503030302963,-1458720.1636362297
KY,Geothermal,11.672727272725991,-23143.127272724723
KY,Hydropower,483.78787878785289,-927636.54545449361
KY,Natural Gas,-1494.3757575757465,3154085.6909090686
KY,Nuclear Energy,0.0,0.0
KY,Petroleum,7338.9757575745498,-14096973.090906691
KY,Solar,0.16363636363634568,-324.43636363632794
KY,Total Consumption,27656.090909087801,-53421527.509084724
KY,Wood and Waste,165.94545454553295,-297507.65454561007
KY,Wind,0.0,0.0
LA,Biomass,6576.6181818175501,-12963873.781816922
LA,Coal,23889.981818180153,-47285732.0181785
LA,Ethenol,171.79393939392173,-340238.67272723769
LA,Geothermal,5.9454545454538934,-11787.854545453245
LA,Hydropower,0.0,0.0
LA,Natural Gas,-30501.054545453811,62139401.345453076
LA,Nuclear Energy,19457.127272725138,-38558208.072723024
LA,Petroleum,-33208.921212120324,67511914.945452765
LA,Solar,3.4909090909087075,-6921.3090909083285
LA,Total Consumption,-7200.2969697004664,17861123.836370572
LA,Wood and Waste,6404.7212121205985,-12623430.74545332
LA,Wind,0.0,0.0
MA,Biomass,-1234.1272727271787,2513982.8727270849
MA,Coal,10093.848484848075,-19939404.418180998
MA,Ethenol,-1.8848484848481866,3744.9818181812243
MA,Geothermal,0.054545454545448555,-108.14545454544263
MA,Hydropower,79.606060606067771,-154852.92727274142
MA,Natural Gas,6359.5939393934568,-12409400.272726309
MA,Nuclear Energy,-3157.4363636358717,6301224.963635386
MA,Petroleum,4753.2666666649293,-8588920.3999965489
MA,Solar,9.9818181818170864,-19790.618181816
MA,Total Consumption,15670.660606058676,-29783286.072723433
MA,Wood and Waste,-1232.2424242423294,2510237.890908902
MA,Wind,0.0,0.0
MD,Biomass,142.0181818182057,-247049.98181822913
MD,Coal,9989.218181817103,-19565278.781816036
MD,Ethenol,-3.1333333333328173,6226.7999999989752
MD,Geothermal,3.5454545454541564,-7029.4545454537702
MD,Hydropower,312.84848484849067,-604211.81818182953
MD,Natural Gas,2536.0666666663633,-4864807.7999993963
MD,Nuclear Energy,-5317.1393939388072,10663281.527271561
MD,Petroleum,4821.909090908136,-9059172.290907193
MD,Solar,2.1818181818179423,-4325.8181818177054
MD,Total Consumption,12632.666666664996,-23935644.399996672
MD,Wood and Waste,145.15151515153897,-253276.78181822901
MD,Wind,0.0,0.0
ME,Biomass,313.61818181824935,-521617.18181831564
ME,Coal,424.27272727270287,-836086.32727267861
ME,Ethenol,-0.50909090909082866,1011.490909090749
ME,Geothermal,0.0,0.0
ME,Hydropower,342.38787878789566,-649729.34545457887
ME,Natural Gas,127.19999999998861,-249667.59999997725
ME,Nuclear Energy,1038.1454545454344,-2003655.2545454137
ME,Petroleum,8258.060606059742,-16164467.672725553
ME,Solar,4.309090909090437,-8543.4909090899673
ME,Total Consumption,10821.612121211352,-20955384.05454392
ME,Wood and Waste,314.12727272734207,-522628.67272741022
ME,Wind,0.0,0.0
MI,Biomass,2209.6606060604872,-4280767.6727270363
MI,Coal,10844.660606059233,-20747495.872724537
MI,Ethenol,407.47878787877551,-805623.65454542974
MI,Geothermal,28.47272727272415,-56451.927272721055
MI,Hydropower,-875.32727272717807,1747002.8727270847
MI,Natural Gas,-9478.6787878790601,19564760.654545989
MI,Nuclear Energy,1440.7333333331017,-2689519.3999995394
MI,Petroleum,10448.175757573257,-19897439.890904121
MI,Solar,12.218181818180481,-24224.581818179151
MI,Total Consumption,16839.545454540934,-30664843.454536472
MI,Wood and Waste,1802.1515151514038,-3475083.9818179598
MI,Wind,0.0,0.0
MN,Biomass,977.5454545454096,-1887518.8545453646
MN,Coal,8125.7272727262016,-15880142.87272514
MN,Ethenol,271.45454545452026,-537683.1454544951
MN,Geothermal,7.1454545454537604,-14167.054545452984
MN,Hydropower,-145.95757575753558,299243.30909082922
MN,Natural Gas,1061.6242424238542,-1842162.3090901377
MN,Nuclear Energy,1329.1818181817114,-2521810.0181816053
MN,Petroleum,3615.9757575750737,-6692183.6909077307
MN,Solar,18.27272727272527,-36228.727272723285
MN,Total Consumption,15911.624242421942,-30352600.509086333
MN,Wood and Waste,650.40606060604773,-1239454.5272727013
MN,Wind,0.24848484848482108,-492.61818181812714
MO,Biomass,305.04848484848122,-578124.21818181069
MO,Coal,308.07272727293389,-69700.12727313707
MO,Ethenol,138.48484848483398,-274486.78181815293
MO,Geothermal,2.2363636363633908,-4433.9636363631471
MO,Hydropower,743.62424242429586,-1459829.7090910147
MO,Natural Gas,-7074.4060606057847,14307385.727272173
MO,Nuclear Energy,12659.5696969685,-25080938.563633978
MO,Petroleum,7265.4787878777515,-13857331.854543392
MO,Solar,8.6727272727263198,-17195.127272725378
MO,Total Consumption,14523.387878786172,-27338376.345451146
MO,Wood and Waste,166.60606060607088,-303721.72727274755
MO,Wind,0.0,0.0
MS,Biomass,2459.7272727270956,-4832460.4727269197
MS,Coal,4032.2303030301073,-7899531.2363632461
MS,Ethenol,0.0,0.0
MS,Geothermal,0.27272727272724279,-540.72727272721318
MS,Hydropower,0.0,0.0
MS,Natural Gas,-6138.2121212115762,12424468.654544367
MS,Nuclear Energy,12323.448484847211,-24420280.618179291
MS,Petroleum,1836.2363636355033,-3302154.5636346564
MS,Solar,0.10909090909089711,-216.29090909088526
MS,Total Consumption,16973.539393937248,-32863175.727268454
MS,Wood and Waste,2459.7272727270956,-4832460.4727269197
MS,Wind,0.0,0.0
MT,Biomass,523.97575757572486,-1025109.8909090256
MT,Coal,15796.260606058933,-31244624.472723946
MT,Ethenol,-3.3212121212110639,6627.1454545433544
MT,Geothermal,6.8727272727265198,-13626.327272725774
MT,Hydropower,-2463.7151515147461,4996369.8181810118
MT,Natural Gas,-1736.0060606059942,3492958.5272725942
